year,urim,status_code,date,time,mimetype,redirects_to,redirect_type
2021,https://arquivo.pt/wayback/20210912181839/https://www.instagram.com/cristiano,301,9/12/2021,18:18:39,,,login
2021,https://arquivo.pt/wayback/20211021094339/https://www.instagram.com/cristiano/,302,10/21/2021,9:43:39,,,login
2022,https://arquivo.pt/wayback/20220102003231/https://www.instagram.com/cristiano/,302,1/2/2022,0:32:31,,,login
2022,https://arquivo.pt/wayback/20220825090532/https://www.instagram.com/cristiano,301,8/25/2022,9:05:32,,https://arquivo.pt/wayback/20220825090532/https://www.instagram.com/cristiano/,2xx
2022,https://arquivo.pt/wayback/20220825090532/https://www.instagram.com/cristiano,301,8/25/2022,9:05:32,,https://arquivo.pt/wayback/20220825090532/https://www.instagram.com/cristiano/,2xx
2022,https://arquivo.pt/wayback/20220825090532/https://www.instagram.com/cristiano/,200,8/25/2022,9:05:32,,,
2022,https://arquivo.pt/wayback/20220825090532/https://www.instagram.com/cristiano/,200,8/25/2022,9:05:32,,,
2022,https://arquivo.pt/wayback/20221222012515/https://www.instagram.com/cristiano/,429,12/22/2022,1:25:15,,,
2023,https://arquivo.pt/wayback/20230120181521/http://instagram.com/cristiano,301,1/20/2023,18:15:21,text/plain,,login
2023,https://arquivo.pt/wayback/20230120183029/https://instagram.com/cristiano,301,1/20/2023,18:30:29,,,login
2023,https://arquivo.pt/wayback/20230120184251/https://instagram.com/cristiano/,302,1/20/2023,18:42:51,,,login
2023,https://arquivo.pt/wayback/20230215165549/http://instagram.com/cristiano,301,2/15/2023,16:55:49,text/plain,,login
2023,https://arquivo.pt/wayback/20230215165553/http://instagram.com/cristiano/,301,2/15/2023,16:55:53,text/plain,,login
2023,https://arquivo.pt/wayback/20230219104940/https://instagram.com/cristiano,301,2/19/2023,10:49:40,,,login
2023,https://arquivo.pt/wayback/20230219104943/https://instagram.com/cristiano/,302,2/19/2023,10:49:43,,,login
2023,https://arquivo.pt/wayback/20230219204426/https://instagram.com/cristiano/,302,2/19/2023,20:44:26,,,login
2023,https://arquivo.pt/wayback/20230301205555/http://instagram.com/cristiano,301,3/1/2023,20:55:55,text/plain,,login
2023,https://arquivo.pt/wayback/20230301205558/https://instagram.com/cristiano,301,3/1/2023,20:55:58,,,login
2023,https://arquivo.pt/wayback/20230301205602/https://instagram.com/cristiano/,302,3/1/2023,20:56:02,,,login
2023,https://arquivo.pt/wayback/20230305200436/https://www.instagram.com/cristiano,301,3/5/2023,20:04:36,,,login
2023,https://arquivo.pt/wayback/20230310144540/https://www.instagram.com/cristiano,301,3/10/2023,14:45:40,,https://arquivo.pt/wayback/20230310144540/https://www.instagram.com/cristiano/,2xx
2023,https://arquivo.pt/wayback/20230310144540/https://www.instagram.com/cristiano/,200,3/10/2023,14:45:40,,,
2023,https://arquivo.pt/wayback/20230310144540/https://www.instagram.com/cristiano/,200,3/10/2023,14:45:40,,,
2018,https://arquivo.pt/wayback/20180410043814/http://instagram.com/leomessi,301,4/10/2018,4:38:14,text/plain,,login
2018,https://arquivo.pt/wayback/20180427135314/http://www.instagram.com/leomessi/,301,4/27/2018,13:53:14,text/plain,,login
2018,https://arquivo.pt/wayback/20180508095534/http://www.instagram.com/leomessi/,301,5/8/2018,9:55:34,text/plain,,login
2019,https://arquivo.pt/wayback/20190325090133/http://instagram.com/leomessi,301,3/25/2019,9:01:33,text/plain,,login
2019,https://arquivo.pt/wayback/20190325090137/https://instagram.com/leomessi,301,3/25/2019,9:01:37,,,login
2019,https://arquivo.pt/wayback/20190401223321/https://instagram.com/leomessi,301,4/1/2019,22:33:21,,,login
2019,https://arquivo.pt/wayback/20190426025811/https://www.instagram.com/leomessi,301,4/26/2019,2:58:11,,,login
2019,https://arquivo.pt/wayback/20191123115332/http://instagram.com/leomessi,301,11/23/2019,11:53:32,text/plain,,login
2019,https://arquivo.pt/wayback/20191123115353/https://instagram.com/leomessi,301,11/23/2019,11:53:53,,,login
2019,https://arquivo.pt/wayback/20191130115210/https://www.instagram.com/leomessi,301,11/30/2019,11:52:10,,,login
2019,https://arquivo.pt/wayback/20191130175417/https://www.instagram.com/leomessi/,302,11/30/2019,17:54:17,,,login
2020,https://arquivo.pt/wayback/20200306032542/https://www.instagram.com/leomessi,301,3/6/2020,3:25:42,,,login
2020,https://arquivo.pt/wayback/20200309012820/https://www.instagram.com/leomessi/,302,3/9/2020,1:28:20,,,login
2020,https://arquivo.pt/wayback/20200827173303/https://www.instagram.com/leomessi/,302,8/27/2020,17:33:03,,,login
2020,https://arquivo.pt/wayback/20200903234350/https://www.instagram.com/leomessi/,200,9/3/2020,23:43:50,,,
2020,https://arquivo.pt/wayback/20201116234659/https://www.instagram.com/leomessi/,200,11/16/2020,23:46:59,,,
2021,https://arquivo.pt/wayback/20210313192744/https://www.instagram.com/leomessi/,302,3/13/2021,19:27:44,,,login
2023,https://arquivo.pt/wayback/20230218082803/http://instagram.com/leomessi,301,2/18/2023,8:28:03,text/plain,,login
2023,https://arquivo.pt/wayback/20230218082807/http://instagram.com/leomessi/,301,2/18/2023,8:28:07,text/plain,,login
2023,https://arquivo.pt/wayback/20230219142757/https://instagram.com/leomessi,301,2/19/2023,14:27:57,,,login
2023,https://arquivo.pt/wayback/20230219142800/https://instagram.com/leomessi/,302,2/19/2023,14:28:00,,,login
2023,https://arquivo.pt/wayback/20230219223919/https://instagram.com/leomessi/,302,2/19/2023,22:39:19,,,login
2018,https://arquivo.pt/wayback/20180716194054/https://www.instagram.com/selenagomez/,200,7/16/2018,19:40:54,,,
2019,https://arquivo.pt/wayback/20190425034543/http://instagram.com/selenagomez,301,4/25/2019,3:45:43,text/plain,https://arquivo.pt/wayback/20190530202244/https://www.instagram.com/selenagomez/,2xx
2019,https://arquivo.pt/wayback/20190425034547/https://instagram.com/selenagomez,301,4/25/2019,3:45:47,,https://arquivo.pt/wayback/20190530202244/https://www.instagram.com/selenagomez/,2xx
2019,https://arquivo.pt/wayback/20190425055207/https://www.instagram.com/selenagomez,301,4/25/2019,5:52:07,,https://arquivo.pt/wayback/20190530202244/https://www.instagram.com/selenagomez/,2xx
2019,https://arquivo.pt/wayback/20190530202244/https://www.instagram.com/selenagomez/,200,5/30/2019,20:22:44,,,
2019,https://arquivo.pt/wayback/20190531202932/https://www.instagram.com/selenagomez/,200,5/31/2019,20:29:32,,,
2019,https://arquivo.pt/wayback/20190602043800/https://www.instagram.com/selenagomez/,200,6/2/2019,4:38:00,,,
2019,https://arquivo.pt/wayback/20190605040741/https://www.instagram.com/selenagomez/,200,6/5/2019,4:07:41,,,
2019,https://arquivo.pt/wayback/20190606045059/https://www.instagram.com/selenagomez/,200,6/6/2019,4:50:59,,,
2019,https://arquivo.pt/wayback/20190607043643/https://www.instagram.com/selenagomez/,200,6/7/2019,4:36:43,,,
2019,https://arquivo.pt/wayback/20190608043312/https://www.instagram.com/selenagomez/,200,6/8/2019,4:33:12,,,
2019,https://arquivo.pt/wayback/20190609044846/https://www.instagram.com/selenagomez/,200,6/9/2019,4:48:46,,,
2019,https://arquivo.pt/wayback/20190610043058/https://www.instagram.com/selenagomez/,200,6/10/2019,4:30:58,,,
2019,https://arquivo.pt/wayback/20190611043348/https://www.instagram.com/selenagomez/,200,6/11/2019,4:33:48,,,
2019,https://arquivo.pt/wayback/20190612043939/https://www.instagram.com/selenagomez/,200,6/12/2019,4:39:39,,,
2019,https://arquivo.pt/wayback/20190613042343/https://www.instagram.com/selenagomez/,200,6/13/2019,4:23:43,,,
